MS Zoning,Street,Land Contour,Neighborhood,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Foundation,1st Flr SF,Gr Liv Area,Kitchen Qual,Garage Cars,SalePrice
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1960,1960,CBlock,1656,1656,TA,2,215000
RH,Pave,Lvl,NAmes,1Fam,1Story,5,1961,1961,CBlock,896,896,TA,1,105000
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1958,1958,CBlock,1329,1329,Gd,1,172000
RL,Pave,Lvl,NAmes,1Fam,1Story,7,1968,1968,CBlock,2110,2110,Ex,2,244000
RL,Pave,Lvl,Gilbert,1Fam,2Story,5,1997,1998,PConc,928,1629,TA,2,189900
RL,Pave,Lvl,Gilbert,1Fam,2Story,6,1998,1998,PConc,926,1604,Gd,2,195500
RL,Pave,Lvl,StoneBr,TwnhsE,1Story,8,2001,2001,PConc,1338,1338,Gd,2,213500
RL,Pave,HLS,StoneBr,TwnhsE,1Story,8,1992,1992,PConc,1280,1280,Gd,2,191500
RL,Pave,Lvl,StoneBr,TwnhsE,1Story,8,1995,1996,PConc,1616,1616,Gd,2,236500
RL,Pave,Lvl,Gilbert,1Fam,2Story,7,1999,1999,PConc,1028,1804,Gd,2,189000
RL,Pave,Lvl,Gilbert,1Fam,2Story,6,1993,1994,PConc,763,1655,TA,2,175900
RL,Pave,Lvl,Gilbert,1Fam,1Story,6,1992,2007,PConc,1187,1187,TA,2,185000
RL,Pave,Lvl,Gilbert,1Fam,2Story,6,1998,1998,PConc,789,1465,TA,2,180400
RL,Pave,Lvl,Gilbert,1Fam,1Story,7,1990,1990,PConc,1341,1341,Gd,2,171500
RL,Pave,Lvl,StoneBr,TwnhsE,1Story,8,1985,1985,PConc,1502,1502,Gd,2,212000
RL,Pave,HLS,StoneBr,1Fam,2Story,8,2003,2003,PConc,1690,3279,Ex,3,538000
RL,Pave,Bnk,Gilbert,1Fam,1.5Fin,8,1988,2005,Wood,1080,1752,TA,2,164000
RL,Pave,Lvl,StoneBr,1Fam,1Story,9,2010,2010,PConc,1856,1856,Ex,3,394432
RL,Pave,Lvl,Gilbert,1Fam,1Story,4,1951,1951,CBlock,864,864,TA,2,141000
RL,Pave,Lvl,NWAmes,1Fam,1Story,6,1978,1988,CBlock,2073,2073,TA,2,210000
RL,Pave,Lvl,NWAmes,1Fam,1Story,6,1977,1977,CBlock,1844,1844,TA,2,190000
RL,Pave,Lvl,NWAmes,1Fam,SFoyer,7,1974,1974,CBlock,1173,1173,Gd,2,170000
